"Unnamed Column","Nombre de la Entidad","Categoría","Estado","Observaciones","Fecha de corte","Responsable"
"30","COMITÉ DE PLANEACIÓN, EJECUCIÓN Y SUPERVISIÓN DE OBRAS DEL MUNICIPIO DE RICAURTE","COMITÉ","ACTIVO","ÓRGANO ASESOR ENCARGADO DE LA PLANEACIÓN, EJECUCIÓN Y SUPERVISIÓN DE OBRAS PÚBLICAS, VIALES, DE SERVICIOS PÚBLICOS Y DE INFRAESTRUCTURA MUNICIPAL, CON EL FIN DE MEJORAR LAS NECESIDADES PRIORITARIAS Y EL BIENESTAR DE LA COMUNIDAD.","2025 Apr 29 12:00:00 AM","SECRETARÍA DE INFRAESTRUCTURA Y OBRAS PÚBLICAS"
"31","Comité de Convivencia","Comisión","Activo","Promover un ambiente laboral sano, respetuoso y libre de violencia en el lugar de trabajo, mediante la prevención, atención y seguimiento de posibles situaciones de acoso laboral, conflictos interpersonales o conductas que afecten la convivencia, contribuyendo así al bienestar de los trabajadores y al fortalecimiento del clima organizacional en la entidad.","2026 Apr 16 12:00:00 AM","Irma Constanza España"
"32","Comisión de Personal","Comité","Activo","Velar por la transparencia, equidad y legalidad en los procesos de administración del talento humano, especialmente en los relacionados con la carrera administrativa, la evaluación del desempeño, la provisión de empleos y la resolución de conflictos entre la administración y los servidores públicos, promoviendo un ambiente laboral justo, participativo y respetuoso de los derechos de los funcionarios y de los principios del servicio público.","2026 Sep 16 12:00:00 AM","Diana Marcela Villalobos Muñoz"
"33","Comité Paritario de Seguridad y Salud en el Trabajo","Comité","Activo","Promover y vigilar el cumplimiento de las normas de Seguridad y Salud en el Trabajo (SST) dentro de la entidad, fomentando una cultura de autocuidado, prevención de riesgos laborales y mejora continua de las condiciones de trabajo, con el fin de proteger la salud, la integridad y el bienestar de todos los servidores públicos y trabajadores.","2025 Aug 02 12:00:00 AM","Irma Constanza España"
"34","Consejo Municipal de Gestion del Riesgo del Municipio de Ricaurte  - Cundinamarca","Gestion del riesgo","Activo","Creado por el 084 del 2012 y conformado y reorganizo mediante el Decreto 107 del 22 de septiebre del 2021","2025 Apr 30 12:00:00 AM","Secretaria de Gobierno y participacion Comunitaria"
"35","Comite Territorial de Justicia Transicional del Municipio de Ricaurte  - Cundinamarca","Poblacion Desplazada","Activo","Creado por el Decreto 026 de enero 31 de 2012","2025 Apr 30 12:00:00 AM","Secretaria de Gobierno y participacion Comunitaria"
"36","Subcomite de Asistencia y Atencion del Municipio de Ricaurte  - Cundinamarca","Poblacion Desplazada","Activo","Creado por el Decreto 078 de junio 3 de 2014","2025 Apr 30 12:00:00 AM","Secretaria de Gobierno y participacion Comunitaria"
"37","Subcomite de Reparacion Integral del Municipio de Ricaurte  - Cundinamarca","Poblacion Desplazada","Activo","Creado por el Decreto 078 de junio 3 de 2014","2025 Apr 30 12:00:00 AM","Secretaria de Gobierno y participacion Comunitaria"
"38","Subcomite de Prevencion, Proteccion y Garantias de no Repeticion del Municipio de Ricaurte  - Cundinamarca","Poblacion Desplazada","Activo","Creado por el Decreto 078 de junio 3 de 2014","2025 Apr 30 12:00:00 AM","Secretaria de Gobierno y participacion Comunitaria"
"39","Mesa tecnica sistemas de informacion del Municipio de Ricaurte  - Cundinamarca","Poblacion Desplazada","Activo","creado Mediante acta No. 001 del 21 de abril del 2021","2025 Apr 30 12:00:00 AM","Secretaria de Gobierno y participacion Comunitaria"
"40","Comité Municipal de Discapacidad del Municipio de Ricaurte - Cundinamarca","Personas en condicion de Discapacidad","Activo","Creado por el Decreto No. 1587 del 30 de junio del 2016 y Modificado por el Decreto No. 030 del 01 de abril del 2019","2025 Apr 30 12:00:00 AM","Secretaria de Gobierno y participacion Comunitaria"
"41","Consejo Municipal de Paz, Reconciliacion, Convivencia, Derechos humanos y Derecho internacional Humanitario del Municipo de Ricaurte - Cundonamarca","Propender por el logro y mantenimiento de la Paz","Activo","Creado por el Acuerdo No. 015 del 05 e Diciembre del 2024","2025 Apr 30 12:00:00 AM","Secretaria de Gobierno y participacion Comunitaria"
"42","Comité Local de Seguridad Vial del Municipio de Ricaurte - Cundinamarca","Seguridad Vial del Municipio","Activo","Establecido por el Decreto No. 182 del 07 de septiembre del 2022","2025 Apr 30 12:00:00 AM","Secretaria de Gobierno y participacion Comunitaria"
"43","Comité de vigilancia epidemiologica (COVE)","COMITÉ","ACTIVA","El Cove Municipal, realiza el análisis e interpretación de la información generada por la vigilancia en salud pública y emite recomendaciones para la orientación en la toma de decisiones, diseño y desarrollo de las acciones de control de los problemas de salud de su área de jurisdicción, asesora y apoyar a la autoridad sanitaria territorial en la adopción, implementación y evaluación del SIVIGILA, de acuerdo a los lineamientos señalados por el Ministerio de Protección Social y el Instituto Nacional de Salud. Analizar las condiciones de ocurrencia de eventos de salud en el municipio, realizar acompañamiento al Comité de estadísticas vitales, liderar el equipo de respuesta inmediata  (ERI) del Municipio.","2025 May 05 12:00:00 AM","Secretaría de Salud"
"44","Comité de vigilancia Epidemiologica  Comunitaria (COVECOM)","COMITÉ","ACTIVA","El Comité de vigilancia Epidemiologica  Comunitaria (COVECOM) es un espacion en el cual se realiza análisis participativo de problemáticas de interés en salud pública que afectan a la comunidad, como mecanismo de participación social, donde los grupos, organizaciones, las instituciones o los diferentes sectores sociales intervienen en el abordaje de problemáticas y procesos que afectan la salud y calidad de vida.","2025 May 05 12:00:00 AM","Secretaría de Salud"
"45","Comité de seguridad alimentaria y nutricional (S.A.N )","COMITÉ","ACTIVA","Este comité  formuladas en el Plan de Seguridad Alimentaria y Nutricional de manera articulada con los ejes de la política nacional y departamental de  Seguridad Alimentaria y Nutrición. Contribuir a que la población del Municipio de Ricaurte disponga y acceda y consuma alimentos de manera permanente y oportuna en suficiente cantidad, variedad, calidad e inocuidad. Mejorar la calidad de vida de la población vulnerable, mediante el fortalecimiento de la articulación y gestión de las entidades de gobierno Nacional, Departamental, organizaciones del sector privado, ONG, de la academia y la comunidad en general. Promover en el territorio los principios del derecho a la alimentación, equidad social, perspectiva de género, sostenibilidad, corresponsabilidad, acceso, consumo, aprovechamiento, calidad e inocuidad de los alimentos. Propiciar de manera articulada con las diferentes instituciones e integrantes del comité, la conceptualización y ejecución de programas y proyectos en el marco de los ejes de la política municipal de seguridad alimentaria y nutricional. Fortalecer la promoción, protección y apoyo de la lactancia materna exclusiva hasta los seis meses y complementaria hasta los dos años de los niños y niñas Ricaurteños.","2025 May 05 12:00:00 AM","Secretaría de Salud"
"46","Red de proteccion y apoyo social en salud mental","COMITÉ","ACTIVA","El Comité Red de proteccion y apoyo social en salud mental, adapta y socializa la ruta municipal de conducta suicida, además de las estrategias para su abordaje, buscando la participación activa de la comunidad. Canalizar el manejo de casos de maltrato, violencia intrafamiliar, para evitar la duplicidad de acciones y garantizar la integridad de la atención a través del SIVIGILA. Capacitar y sensibilizar a as familias, sector educativo, comunidad sobre los factores de riesgo de las violencias y conducta suicida, socializar las estrategias municipales para su abordaje buscando la participación activa de la comunidad.Diseñar e implementar y evaluar el Plan de Acción Municipal de prevención de conducta suicida y el Plan de Acción Municipal de Prevención de Violencia Intrafamiliar.","2025 May 05 12:00:00 AM","Secretaría de Salud"
"47","Comité Municipal de Prevencion del Consumo y Control de la oferta de sustanciasd psicoactivas - SPA","COMITÉ","ACTIVA","El Comité de SPA, promueve el desarrollo y coordinación de planes, programas y proyectos que aborden integralmente los problemas asociados a la producción, tráfico y consumo de sustancias psicoactivas en el Municipio de Ricaurte.","2025 May 05 12:00:00 AM","Secretaría de Salud"
"48","Comité intersectorial para la prevencion, promocion y control de enfermedades transmitidaas por vectores y de origen zoonotico (EGI)","COMITÉ","ACTIVA","En este comité se analizan todas las estrategias encaminadas a reducir enfermedades producidas por vectores como punto de coordinación de promoción, prevención y control.","2025 May 05 12:00:00 AM","Secretaría de Salud"
"49","Comité programa ampliado de inmunizaciones (PAI)","COMITÉ","ACTIVA","Este Comité vigila y supervisa las acciones formuladas en el Plan Acción de Salud (PAS) del Programa Ampliado de Inmunizaciones (PAI), evaluando el funcionamiento y desarrollo del programa. Plantear acciones intersectoriales en beneficio del cumplimiento de las actividades de vacunación. Vigilar y evaluar la participación activa y directa de las Entidades Administradoras de Planes de Beneficio (EAPB) que hacen parte del municipio de Ricaurte, de acuerdo a los lineamientos del PAI. Vigilar y evaluar la participación activa y directa de la Instituciones Prestadoras de Salud (IPS),  vacunadoras del municipio. realizar seguimientos y evaluación  a los a los planes de mejoramiento formulados por las IPS y vacunadoras del Municipio, para aumentar coberturas y mejorar oferta de servicios a su población afiliada. Presentar la evaluación mensual a las metas de cobertura en vacunación de las IPS y vacunadoras, apoyar divulgación  de actividades de vacunación, vigilar y evaluar las jornadas nacionales de vacunación, implementar estrategis de acción en beneficio al cumplimiento de las metas precisadas por la Secretaria de Salud Departamental.","2025 May 05 12:00:00 AM","Secretaría de Salud"
"50","Comité de participacion comunitaria en salud (COPACO)","COMITÉ","ACTIVA","Este comité interviene en las actividades de planeación, asignación de recuersos y vigilancia y control del gasto  del Sistema General de Seguridad Social, participar en el proceso de diagnóstico, programación, control y evaluación de los servicios de salud.Gestionar la inclusión de planes, programas y proyectos en el Plna de Desarrollo de la respectiva entidad territorial y participar en la priorización, toma de decisiones y distribucción de los recursos. Presentar proyectos en salud ante la respectiva entidad territorial, bajo las formalidades y pr ocedimientos establecidos en las disposiciones legales sean confinanciados por el Fondo de Inversión Social y otros fondos de cofinanciación a nivel nacional. Proponer y participar prioritariamente en los programas de atención preventiva, familiar, extrahospitalaria y de control del medio ambiente. Concertar y coordinar con las dependencias del sistema general de seguridad social en salud e instituciones públicas y privadas de otros sectores todas las actividades de atencion a las personas y al ambiente que se vayan a realizar en el área de influencia del comité con los diferentes órganos o entidades de salud, consultar e informar periódicamente las actividades y discusiones del comité y decisiones de las juntas directivas de los respectivos organismos o entidades de salud. Impulsar el proceso de descentralización y la autonomía local y departamental y en especial a través de su participación en las Juntas Directivas de las IPS.","2025 May 05 12:00:00 AM","Secretaría de Salud"
"51","Consejo Territorial  De Seguridad  Social  En Salud","COMITÉ","ACTIVA","El  Consejo Territorial  De Seguridad  Social  En Salud, asesora a la dirección Local de Salud, en la formulación de planes, estrategias, programas y proyectos de salud, además de recomendar a esta dirección la adecuación y alcance del Plan de Salud Pública, velar por la participación  comunitaria mediante la formación de alianzas o asociaciones de usuarios y comités de participación que hagan congruente la política nacional a nivel territorial. Además de velar por las medidas necesarias para evitar la selección adversa en desfavor de las poblaciones más pobres y vulnerables.","2025 May 05 12:00:00 AM","Secretaría de Salud"
"52","Veeduria ciudadana en salud","COMITÉ","ACTIVA","Este comité velar y promover que se presten de manera eficiente, eficaz y oportuna los servicios en salud que se presten a los ciudadanos dentro del Municipio de Ricaurte. Además, de impulsar, apoyar y ejercer vigilancia sobre la gestión pública, respecto a las autoridades administrativas, políticas, judiciales, electorales, legislativas y órganos de control, así como entidades públicas o privadas, organizaciones no gubernamentales de carácter nacional o internacional que operen en el país, encargadas de la ejecució0n de programas, proyectos, contratos o de la prestación de un servicio público y privado relacionadas con el Sistema de Seguridad Social Integral.","2025 May 05 12:00:00 AM","Secretaría de Salud"
"53","Comité de Estadísticas Vitales","COMITÉ","ACTIVA","Ejercer la vigilancia y el control sobre los certificados de defunciones, establecer mecanismos para la revisión y selección de los certificados que  presenten problemas en su diligenciamiento, con el fin de evaluar la irregularidad y tomar acciones correctivas del caso. Establecer mecanísmos de búsqueda activa de información de nacimientos y defunciones a nivel de las oficinas de cementerios y parroquias, para complementrarla a nivel territorial con el fin de evaluar inconsistencias de aquellos certificados que hayan sido seleccionados por la E.S.E como irregulares y de aquellos identificados por el DANE y referidos por la Secretaria de Salud de Cundinamarca como inconsistentes en el proceso de captura de información.","2025 May 05 12:00:00 AM","Secretaría de Salud"
"54","Mesa interna de gestion integral en salud de las victimas de conflicto armado","SUBCOMITÉ","ACTIVA","Este subcomité se encargará de generar recomendaciones para la formulación de las políticas públicas, planes, programas y proyectos de salud integral que respondan a las necesidades en Salud de las Victimas del conflicto armado. Proponer acciones de atención  en salud para la población victima del conflicto armado. Formular mecanismos de coordinación y articulación de las acciones misionales de los diferentes actores del SGSSS del municipio para lograr el aseguramiento, la prestación del servicio de salud, salud pública, promoción social y participación social de las victimas del conflicto armado. Articular acciones que conlleven a la formulación de planes para dar cumplimiento a las órdenes judiciales proferidas por los operadores judiciales. Identificar la necesidad de asistencia técnica y capacitación de las instituciones del sector salud en el municipio para la gestión integral en salud de las victimas del conflicto armado. Proponer, definir y establecer mecanismos de monitoreo, seguimiento y evaluación de las acciones intra e insterinstitucional para la gestión integral en salud de las victimas del conflicto armado.","2025 May 05 12:00:00 AM","Secretaría de Salud"
