"ORGANIZACION","RAZON SOCIAL","NIT","FEC-MATRICULA","DIR-COMERCIAL","MUN-COMERCIAL","TEL-COM-1","EMAIL-COMERCIAL","CIIU-1","TAM-EMPRESA","PERSONAL","ACTIVO-TOTAL","NOM-REP-LEGAL"
"16","YES MUNDIAL S.A.S. BIC","9,015,264,862","20,210,930","CL 14 C 27 20AP 2","44001 - RIOHACHA","3,024,160,245","yessicacotesg@gmail.com","G4799 ** Otros tipos de comercio al por menor no realizado en establecimientos  puestos de venta o mercados","MICRO EMPRESA","1","3,000,000","COTES GIL YESSICA PATRICIA"
"16","DISTRIBUCIONES TATO S.A.S ZOMAC BIC","9,015,344,841","20,211,026","CL 13 17 57","44279 - FONSECA","3,007,710,320","yeisonalzate8@gmail.com","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcoh󬩣as y no alcoh󬩣as) o tabaco","MICRO EMPRESA","5","104,924,000","ALZATE LOPEZ YEISON ANDRES"
"16","M&M INVERSIONES Y COMERCIALIZADORA SAS ZOMAC BIC","9,015,368,211","20,211,102","CL 3  5  86 BRR CENTRO","44650 - SAN JUAN DEL CESAR","3,126,280,111","myminvercomsas@gmail.com","G4771 ** Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados","MICRO EMPRESA","3","37,500,000","ACOSTA JARAMILLO MARGARITA DEL SOCORRO"
"16","INVERSIONES E INMOBILIARIA A & A S.A.S ZOMAC BIC","9,015,368,384","20,211,102","CL 13  15  57","44279 - FONSECA","3,126,280,111","ayainvermobilsas@gmail.com","L6810 ** Actividades inmobiliarias realizadas con bienes propios o arrendados","MICRO EMPRESA","1","10,000,000","ACOSTA JARAMILLO MARGARITA DEL SOCORRO"
"16","SERVICIO DE INGENIERIA ALMENAREZ HERNANDEZ SAS ZOMAC BIC","9,015,496,266","20,211,217","CR 12  14  76 BRR PRIMERO DE JULIO","44279 - FONSECA","3,002,904,743","malmenarez27@hotmail.com","F4220 ** Construccion de proyectos de servicio publico","MICRO EMPRESA","2","251,000,000","ALMENAREZ HERNANDEZ MARIA FERNANDA"
"16","MUCONSTRUCCION S.A.S. ZOMAC BIC","9,015,621,197","20,220,203","CL 15 7 03","44078 - BARRANCAS","3,015,830,744","ing.julioalfonsomolina@gmail.com","F4210 ** Construccion de carreteras y vias de ferrocarril","MICRO EMPRESA","3","12,000,000","MOLINA URECHE JULIO ALFONSO"
"16","REPRESENTACIONES SOMA S.A.S ZESE BIC","9,015,623,154","20,220,204","CL 11  18  48","44279 - FONSECA","3,002,004,522","alerodfig@hotmail.com","C1051 ** Elaboracion de productos de molineria","MICRO EMPRESA","1","10,000,000","RODRIGUEZ FIGUEROA ALIRIS ALEJANDRA"
"16","COCERPOLL S.A.S  BIC","9,015,638,658","20,220,204","CR 6   11   10 LC 6","44078 - BARRANCAS","3,157,495,745","carolinagomezs.0410@gmail.com","C1090 ** Elaboracion de alimentos preparados para animales","MICRO EMPRESA","5","50,500,000","GOMEZ SALTAREN MARIA CAROLINA"
"16","CENTRO INTEGRAL DE ATENCION CAPILAR DPELOS S.A.S ZOMAC BIC","9,015,713,485","20,220,208","CL 8  6  55 P 2 AP 201 BRR CENTRO","44001 - RIOHACHA","3,242,425,038","avacuni_19@hotmail.com","C3290 ** Otras industrias manufactureras n.c.p.","MICRO EMPRESA","1","38,000,000","CURIEL NIEVES ALEXANDRA VANESSA"
"16","JANTAR EXPRESS SAS ZOMAC BIC","9,015,711,851","20,220,214","CL 12  16  66 BRR JOSE ANTONIO GALAN","44001 - RIOHACHA","3,007,397,552","mayirodrish@gmail.com","I5611 ** Expendio a la mesa de comidas preparadas","MICRO EMPRESA","2","31,846,897","RODRIGUEZ MENDOZA MARIA ISABEL"
"16","MALECON CABAÑAS SAS ZOMAC BIC","9,015,655,566","20,220,214","CR 4  83  145","44001 - RIOHACHA","3,174,707,331","malecon.cabanas@gmail.com","I5514 ** Alojamiento rural","MICRO EMPRESA","6","41,519,725","MEDINA TORO YESSIT EDUARDO"
"16","SONRISITAS RECREATIVAS S.A.S ZOMAC BIC","9,015,701,058","20,220,225","CL 16 15 79 BRR EL CAMPO","44279 - FONSECA","3,223,557,493","saelrofer123@gmail.com","R9329 ** Otras actividades recreativas y de esparcimiento n.c.p.","MICRO EMPRESA","1","5,000,000","RODRIGUEZ FERNANDEZ SAUD ELIAS"
"16","FIORE COCINA ARTESANAL SAS BIC","9,015,834,288","20,220,405","CL  3  9  31","44001 - RIOHACHA","3,045,234,584","daniella_perez40@hotmail.com","C1084 ** Elaboracion de comidas y platos preparados","MICRO EMPRESA","0","1,000,000","PEREZ MORILLO DANIELA"
"16","CERQUITA AL CIELO SAS ZOMAC BIC","9,015,835,752","20,220,405","CL 3 9-08","44001 - RIOHACHA","3,013,817,744","belindaxb@hotmail.com","I5611 ** Expendio a la mesa de comidas preparadas","MICRO EMPRESA","1","7,660,786","BARRIOS PALMA BELINDA XOCHITL"
"16","TEXTILES Y CONFECCIONES VIZION S.A.S ZOMAC BIC","9,015,827,747","20,220,405","CL 11 7 01 LOCAL 104","44001 - RIOHACHA","3,015,736,199","supershop.online.col@gmail.com","C1410 ** Confeccion de prendas de vestir  excepto prendas de piel","MICRO EMPRESA","0","9,819,847","ARROYAVE PEREZ ANDRES FELIPE"
"16","ACEITE DE LA GUAJIRA SAS ZESE BIC","9,015,841,421","20,220,408","LT PA 17 VDA SANTA RITA DEL JEREZ CORR LA PUNTA DE LOS REMEDIOS","44090 - DIBULLA","3,007,078,412","legal@agricolastyt.com","A0126 ** Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos","MICRO EMPRESA","1","492,918,066","TRAVECEDO PADILLA JOAQUIN PADILLA"
"16","REPRESENTACIONES VILLALBA Y VILLARREAL SAS ZOMAC BIC","9,015,886,001","20,220,426","CL 21  14  34 BRR SAN JOSE","44279 - FONSECA","3,107,223,948","rvillalbacontreras@gmail.com","H4923 ** Transporte de carga por carretera","MICRO EMPRESA","1","70,854,031","VILLALBA CONTRERAS RAFAEL ARTURO"
"16","CENTRO INTEGRAL DE HEMATOLOGIA Y ONCOLOGIA DE COLOMBIA CIHON SAS BIC","9,015,916,201","20,220,504","CL 7 6 57 CC OLIMPIA CONSULTORIO 112","44001 - RIOHACHA","3,137,248,742","cihonsas@gmail.com","Q8621 ** Actividades de la practica medica  sin internacion","MICRO EMPRESA","1","10,000,000","ARDILA RUIZ ALFONSO RAFAEL"
"16","RIVIERA BEACH RESORT DE LA GUAJIRA SAS ZESE BIC","9,015,971,689","20,220,523","LT LA COQUERA C MINGUEO","44090 - DIBULLA","3,007,078,412","legal@agricolastyt.com","I5514 ** Alojamiento rural","MICRO EMPRESA","2","434,968,771","TRAVECEDO PADILLA JOAQUIN JOSE"
"16","KG MEDICAL S.A.S ZESE BIC","9,016,074,031","20,220,524","CL 12 12 70","44874 - VILLANUEVA","3,014,123,247","kgmedicalsas@gmail.com","G4669 ** Comercio al por mayor de otros productos n.c.p.","MICRO EMPRESA","1","100,000,000","GONZALEZ PELAEZ KAREN SUGEY"
"16","SOCIEDAD AGROINDUSTRIAL OPERATIVA Y DE ESTUDIOS TECNICOS LOS PAJALES SAS ZOMAC BIC","9,015,991,054","20,220,527","CL 11 A 14 87","44279 - FONSECA","3,115,215,180","sociedadlospajales@gmail.com","A0115 ** Cultivo de plantas textiles","MICRO EMPRESA","1","55,000,000","RODRIGUEZ URBINA EFRAIN"
"16","INVERSIONES ODONTOLOGICAS ESPECIALIZADAS L&R SAS ZOMAC BIC","9,016,097,936","20,220,701","CR 17 15 44","44279 - FONSECA","3,005,773,020","evillalaura@gmail.com","Q8622 ** Actividades de la practica odontologica","MICRO EMPRESA","1","25,000,000","EVILLA LACOUTURE LAURA VICTORIA"
"16","CASA DE MODAS YAR S.A.S BIC","9,016,284,323","20,220,831","CR 6 NO 5 – 19 SUR BARRIO 16 DE JULIO","44650 - SAN JUAN DEL CESAR","3,143,506,297","mileravelo@hotmail.com","C1410 ** Confeccion de prendas de vestir  excepto prendas de piel","MICRO EMPRESA","1","9,400,000","RAVELO CAÑIZARES MILETH"
"16","COMERCIALIZADORA  PROVEEDORA Y CONSULTORA DE LA GUAJIRA COMPRAGUAJIRA SAS ZOMAC BIC","9,016,297,655","20,220,902","CL 11 A N 16 97","44279 - FONSECA","3,165,323,003","compraguajira@gmail.com","G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos","MICRO EMPRESA","2","6,000,000","CAMPO POLANCO FRANCISCO JAVIER"
"16","LUCY URBINA M DISEÑADORA S.A.S ZOMAC BIC","9,016,305,002","20,220,906","CL 15 19 14","44279 - FONSECA","3,005,715,468","lucyurbinadisenadora@gmail.com","C1512 ** Fabricacion de articulos de viaje  bolsos de mano y articulos similares elaborados en cuero  y fabricacion de articulos de talabarteria y guarnicioneria","MICRO EMPRESA","1","9,401,000","URBINA MARULANDA LUCY ESTHER DEL SOCORRO"
"16","TUTTIBROWNIES S.A.S BIC","9,016,370,755","20,220,922","CL 7 N 5 -28","44001 - RIOHACHA","3,106,551,077","tuttibrowniess.a.s@gmail.com","I5619 ** Otros tipos de expendio de comidas preparadas n.c.p.","MICRO EMPRESA","1","8,690,000","DAZA GARCIA NATALIA SOFIA"
"16","GRANJA AVICOLA Y PORCINA UTOPIA S.A.S BIC","9,016,386,458","20,220,927","CR 10 3 15","44650 - SAN JUAN DEL CESAR","3,013,710,138","fregilsar@gmail.com","A0144 ** Cria de ganado porcino","MICRO EMPRESA","2","1,000,000","GIL SARMIENTO FREDY FERNANDO"
"16","PROYECTOS Y CONSTRUCCIONES SOLANO S.A.S  ZOMAC BIC","9,016,384,571","20,220,928","CL 15 N 6 36 BRR EL CARMEN","44279 - FONSECA","3,103,783,272","andrrupsln@gmail.com","F4290 ** Construccion de otras obras de ingenieria civil","MICRO EMPRESA","2","0","SOLANO DEAVILA ANDREA PAOLA"
"16","VIVERO JARDIN DEL EDEN S.A.S ZOMAC BIC","9,016,389,841","20,220,929","CRT NACIONAL SD A BARRANCAS","44279 - FONSECA","3,234,839,771","carlosw1962@hotmail.com","A0210 ** Silvicultura y otras actividades forestales","MICRO EMPRESA","1","30,000,000","FONTALVO JIMENEZ CARLOS ALBERTO"
"16","B´AUGIR MG S.A.S ZOMAC BIC","9,016,390,937","20,220,929","CR 19 N 16 04 BRR ALTO PRADO","44279 - FONSECA","3,145,950,718","futuroconstruible@gmail.com","F4290 ** Construccion de otras obras de ingenieria civil","MICRO EMPRESA","1","10,320,233","GARCIA GUERRA MARIETH ELENA"
"16","JIREH F&K SAS BIC","9,016,391,025","20,220,929","CL 8 N 6 07 C PAPAYAL","44078 - BARRANCAS","3,106,620,583","rafaballesteros3@gmail.com","F4290 ** Construccion de otras obras de ingenieria civil","MICRO EMPRESA","2","5,000,000","ROYET ALVAREZ KAREN YOHANA"
"16","VICOHE S.A.S ZOMAC BIC","9,016,391,057","20,220,929","CL 12 N 18 08 BRR CENTRO","44279 - FONSECA","3,016,442,267","bremapipa@gmail.com","C2219 ** Fabricacion de formas basicas de caucho y otros productos de caucho  n.c.p.","MICRO EMPRESA","2","10,000,000","PINEDO PARODI BRENDA MARINA"
"16","DELICIAS WAYUU ZUNY S.A.S ZOMAC BIC","9,016,391,602","20,220,930","VRD RESGUARDO MAYABANGLOMA","44279 - FONSECA","3,137,355,774","ing.alexandervillalba@gmail.com","C1084 ** Elaboracion de comidas y platos preparados","MICRO EMPRESA","2","5,000,000","ARAUJO SOLANO ZUNILDA MARIA"
"16","INVERSIONES MANKOR S.A.S ZOMAC BIC","9,016,392,428","20,220,930","CR 19 7 47 BRR SAN AGUSTIN","44279 - FONSECA","3,165,208,213","makorsas@hotmail.com","L6810 ** Actividades inmobiliarias realizadas con bienes propios o arrendados","MICRO EMPRESA","1","101,000,000","MANNAA OSMAN CASSAN"
"16","ORGANIZACION S&M S.A.S BIC","9,016,399,719","20,220,930","CL 13 18 151 BRR EL CARMEN","44378 - HATONUEVO","3,172,463,208","organizacionsm2022@oulook.es","F4290 ** Construccion de otras obras de ingenieria civil","MICRO EMPRESA","1","100,000,000","MENDOZA PERALTA SEGUNDO ANDRES"
"16","VIBE GUA-COR S.A.S ZOMAC BIC","9,016,402,469","20,221,003","CL 17 N 17 87 BRR CENTRO","44279 - FONSECA","3,044,239,728","yaneth1410_1@hotmail.com","C1084 ** Elaboracion de comidas y platos preparados","MICRO EMPRESA","1","5,000,000","VILLALBA BERNA YEDITH YANETH"
"16","DHAYBRA INGENIERIA S.A.S ZOMAC BIC","9,016,406,486","20,221,004","CL 7 24 37 BRR LA FLORESTA","44279 - FONSECA","3,005,752,254","ingdhaybra@outlook.com","M7112 ** Actividades de ingenier�y otras actividades conexas de consultor�t飮ica","MICRO EMPRESA","1","50,000,000","DIAZ PEÑARANDA YOIMER"
"16","APARTAHOTEL SAROA S.A.S ZOMAC BIC","9,016,505,710","20,221,101","CL 13 3 98","44279 - FONSECA","3,136,635,687","camilopeco9@gmail.com","I5512 ** Alojamiento en apartahoteles","MICRO EMPRESA","1","26,000,000","PERALTA CORTES CAMILO ANDRES"
"16","A.J. CONSTRUCCIONES S.A.S ZOMAC BIC","9,016,724,978","20,230,117","CALLE 11 N. 22-183 BARRIO GOMEZ DAZA","44279 - FONSECA","3,154,180,681","titanedd@hotmail.com","F4111 ** Construccion de edificios residenciales","MICRO EMPRESA","1","200,000,000","TRUJILLO NIÑO ANGELA KATIANA"
"16","VILLAFARMA PLUS S.A.S ZOMAC BIC","9,016,960,718","20,230,321","CL 32A N 13 64 LC 2 BRR VILLA HERMOSA","44279 - FONSECA","3,158,903,873","villafarmaplus@gmail.com","G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados","MICRO EMPRESA","2","5,000,000","TORRES GOMEZ JURGEN FARID"
